#
# iasp91 travel-time table for sS
#
# number of distance and depth samples
88 36
# delta samples
15.000 16.000 17.000 18.000 19.000 20.000 21.000 22.000 23.000 24.000 25.000 26.000 27.000 28.000 29.000 30.000 31.000 32.000 33.000 34.000 35.000 36.000 37.000 38.000 39.000 
40.000 41.000 42.000 43.000 44.000 45.000 46.000 47.000 48.000 49.000 50.000 51.000 52.000 53.000 54.000 55.000 56.000 57.000 58.000 59.000 60.000 61.000 62.000 63.000 64.000 
65.000 66.000 67.000 68.000 69.000 70.000 71.000 72.000 73.000 74.000 75.000 76.000 77.000 78.000 79.000 80.000 81.000 82.000 83.000 84.000 85.000 86.000 87.000 88.000 89.000 
90.000 91.000 92.000 93.000 94.000 95.000 96.000 97.000 98.000 99.000 100.000 101.000 102.000 
# depth samples
    1.000000    2.500000    5.000000    7.500000   10.000000   12.500000   15.000000   17.500000   19.900000   20.000000   22.500000   25.000000   27.500000   30.000000   32.500000   34.900000   35.000000   40.000000   45.000000   50.000000   75.000000  100.000000  150.000000  200.000000  250.000000  300.000000  350.000000  400.000000  450.000000  500.000000  550.000000  600.000000  650.000000  700.000000  750.000000  800.000000
#
# travel times (rows - delta, columns - depth)
#
  399.269775  399.619995  400.203583  400.787018  401.370300  401.953430  402.536407  403.119232  403.678619  403.701904  404.181702  404.661316  405.140747  405.619995  406.099060  406.558807  406.577881  407.201813  407.823761  408.443848 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  419.777832  420.128296  420.712280  421.296082  421.879761  422.463257  423.046631  423.629822  424.189545  424.212830  424.693085  425.173096  425.652924  426.132568  426.612000  427.072083  427.091187  427.716156  428.339111  428.960022  432.034607  435.058899 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  440.249573  440.600555  441.185425  441.770111  442.354645  442.939026  443.523254  444.107300  444.667816  444.691132  445.172394  445.653381  446.134216  446.614807  447.095215  447.556213  447.575317  448.203125  448.828735  449.452240  452.537903  455.570404  461.482208 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  460.653534  461.005463  461.591827  462.178009  462.764038  463.349884  463.935547  464.521057  465.082977  465.106354  465.589325  466.072052  466.554565  467.036865  467.518951  467.981537  468.000732  468.633453  469.263916  469.892120  472.999237  476.049835  481.987671  487.731201  493.148102 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  480.950409  481.303650  481.892273  482.480682  483.068939  483.656982  484.244873  484.832550  485.396545  485.420013  485.905609  486.390930  486.876038  487.360901  487.845520  488.310547  488.329834  488.970184  489.608063  490.243591  493.385071  496.466187  502.453125  508.229767  513.664490  518.500732 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  501.094330  501.449432  502.041107  502.632568  503.223877  503.814941  504.405823  504.996521  505.563416  505.586975  506.076202  506.565125  507.053772  507.542206  508.030365  508.498749  508.518188  509.169006  509.817261  510.462982  513.653381  516.779724  522.844604  528.680664  534.156738  539.016357  543.210327 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  521.035339  521.392761  521.988220  522.583557  523.178650  523.773560  524.368286  524.962769  525.533264  525.557007  526.050781  526.544250  527.037476  527.530396  528.023071  528.495850  528.515442  529.179626  529.841125  530.500061  533.754944  536.942688  543.118530  549.046570  554.594727  559.505981  563.727173  590.085144 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  540.726685  541.086792  541.686829  542.286682  542.886292  543.485657  544.084900  544.683838  545.258728  545.282593  545.781738  546.280640  546.779175  547.277527  547.775574  548.253418  548.273254  548.953186  549.630371  550.304932  553.637512  556.901428  563.222351  569.279663  574.937622  579.937927  584.220337  587.704346  612.529419 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  559.398010  559.786072  560.432800  561.079407  561.725952  562.372375  563.018677  563.664856  564.285095  564.310913  564.866028  565.421021  565.975830  566.530518  567.085083  567.617371  567.639465  568.445679  569.140381  569.832397  573.252686  576.604492  583.099304  589.322205  595.132935  600.268250  604.657837  608.208923  629.272705  634.372070 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  575.671509  576.060791  576.709534  577.358154  578.006653  578.655090  579.303345  579.951538  580.573730  580.599609  581.157043  581.714355  582.271484  582.828552  583.385437  583.919922  583.942139  584.785950  585.628418  586.469482  590.654663  594.805603  602.696167  609.113953  615.116882  620.438965  624.993408  628.668762  645.988281  651.111023  655.720886 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  591.766846  592.157959  592.809692  593.461243  594.112671  594.763916  595.415039  596.066040  596.690796  596.716797  597.277405  597.837830  598.398071  598.958130  599.518066  600.055420  600.077698  600.929199  601.779175  602.627625  606.847900  611.032471  619.301208  627.450928  634.825134  640.379089  645.163086  649.038025  662.652222  667.816956  672.456848  676.539429 -999.000000 -999.000000 -999.000000 -999.000000
