#
# iasp91 travel-time table for PnPn
#
# number of distance and depth samples
49 29
# delta samples
1.500 2.000 2.500 3.000 3.500 4.000 4.500 5.000 5.500 6.000 6.500 7.000 7.500 8.000 8.500 9.000 10.000 11.000 12.000 13.000 14.000 15.000 16.000 17.000 18.000 
19.000 20.000 21.000 22.000 23.000 24.000 25.000 26.000 27.000 28.000 29.000 30.000 31.000 32.000 33.000 34.000 35.000 36.000 37.000 38.000 39.000 40.000 41.000 42.000 
# depth samples
    0.000000    1.000000    2.500000    5.000000    7.500000   10.000000   12.500000   15.000000   17.500000   19.900000   20.000000   22.500000   25.000000   27.500000   30.000000   32.500000   34.900000   35.000000   40.000000   45.000000   50.000000   75.000000  100.000000  150.000000  200.000000  250.000000  300.000000  350.000000  400.000000
#
# travel times (rows - delta, columns - depth)
#
   35.668720   35.548622   35.368511   35.068428   34.768467   34.468636   34.168926   33.869347   33.569889   33.282532   33.270580   33.043278   32.816154   32.589199   32.362411   32.135792   31.918394   31.909374 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   42.545830   42.425732   42.245621   41.945534   41.645576   41.345741   41.046032   40.746449   40.446991   40.159634   40.147682   39.920376   39.693249   39.466293   39.239502   39.012878   38.795479   38.786457 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   49.422901   49.302799   49.122688   48.822601   48.522636   48.222797   47.923088   47.623501   47.324039   47.036678   47.024727   46.797417   46.570286   46.343323   46.116528   45.889900   45.672493   45.663471 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   56.299892   56.179790   55.999676   55.699581   55.399612   55.099770   54.800053   54.500462   54.200996   53.913631   53.901680   53.674358   53.447224   53.220253   52.993450   52.766815   52.549400   52.540382 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   63.176765   63.056660   62.876541   62.576443   62.276466   61.976620   61.676895   61.377296   61.077824   60.790447   60.778500   60.551170   60.324024   60.097042   59.870232   59.643585   59.426163   59.417141 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   70.053482   69.933372   69.753250   69.453140   69.153160   68.853302   68.553566   68.253960   67.954483   67.667099   67.655144   67.427803   67.200645   66.973656   66.746826   66.520172   66.302734   66.293716 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   76.930000   76.809891   76.629761   76.329643   76.029648   75.729782   75.430038   75.130417   74.830925   74.543533   74.531578   74.304230   74.077057   73.850044   73.623207   73.396538   73.179085   73.170067 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   83.806282   83.686165   83.506027   83.205902   82.905891   82.606018   82.306259   82.006630   81.707123   81.419724   81.407768   81.180397   80.953209   80.726181   80.499329   80.272636   80.055168   80.046150 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   90.682297   90.562172   90.382027   90.081879   89.781860   89.481972   89.182198   88.882553   88.583038   88.295616   88.283669   88.056274   87.829063   87.602020   87.375145   87.148438   86.930954   86.921928 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   97.557991   97.437859   97.257706   96.957550   96.657509   96.357605   96.057816   95.758156   95.458626   95.171188   95.159233   94.931824   94.704590   94.477524   94.250626   94.023895   93.806389   93.797363 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  104.433334  104.313194  104.133034  103.832855  103.532806  103.232872  102.933075  102.633392  102.333839  102.046387  102.034439  101.806999  101.579742  101.352654  101.125732  100.898979  100.681442  100.672424 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  111.308281  111.188141  111.007965  110.707771  110.407700  110.107750  109.807930  109.508232  109.208656  108.921188  108.909233  108.681770  108.454491  108.227371  108.000420  107.773636  107.556084  107.547058 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  118.182800  118.062653  117.882462  117.582245  117.282150  116.982185  116.682343  116.382622  116.083031  115.795540  115.783585  115.556091  115.328781  115.101639  114.874657  114.647842  114.430260  114.421227 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  125.056854  124.936691  124.756493  124.456253  124.156136  123.856140  123.556274  123.256538  122.956917  122.669403  122.657448  122.429924  122.202583  121.975403  121.748398  121.521553  121.303932  121.294907  121.281876 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  131.930389  131.810226  131.630005  131.329742  131.029602  130.729584  130.429688  130.129929  129.830276  129.542740  129.530792  129.303238  129.075851  128.848648  128.621597  128.394714  128.177078  128.168045  128.152802 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
