# Map reported phase names to IASPEI standard phase list
# reported phase,  IASPEI phase
PhaseMap
    PKPabc    PKPab
    PcP?      PcP
   pP?       pP
   sP?       sP
    Pg?       Pg
    Pn?       Pn
    Pb?       Pb
    Sg?       Sg
    Sn?       Sn
    Sb?       Sb
    PG?       Pg
    PN?       Pn
    PB?       Pb
    SG?       Sg
    SN?       Sn
    SB?       Sb
    pg?       Pg
    pn?       Pn
    pb?       Pb
    sg?       Sg
    sn?       Sn
    sb?       Sb
    (P)       P
    (S)       S
    (PKP)     PKPdf
    (PKP1)    PKPbc
    (PKP2)    PKPab
    (PKPdf)   PKPdf
    (PKPbc)   PKPbc
    (PKPab)   PKPab
    (PcP)     PcP
    (pP)      pP
    (sP)      sP
    (Pg)      Pg
    (Pn)      Pn
    (Pb)      Pb
    (Sg)      Sg
    (Sn)      Sn
    (Sb)      Sb
    (PG)      Pg
    (PN)      Pn
    (PB)      Pb
    (SG)      Sg
    (SN)      Sn
    (SB)      Sb
    PI        P
    PR        PP
    PR1       PP
    PR2       PPP
    Prep      PKP
    Prep2     PKP
    SI        S
    SR        SS
    SR1       SS
    SR2       SSS
    EP        P
    IP        P
    ES        S

# List of allowable IASPEI phases
AllowablePhases
    Pg
    Pb
    Pn
    P
    PcP
    PcS
    PKiKP
    PKPdf
    PKPab
    PKPbc
    Pdif
    PKKPdf
    PKKPbc
    PKKPab
    PP
    Lg
    Sg
    Sb
    Sn
    S
    ScP
    ScS
    SKiKP
    SKSdf
    SKSac
    SKPab
    SKPbc
    SKKSdf
    SKKSac
    SKKPab
    SKKPbc
    SS
   pP
   pwP
   sP
   pPdif
   sPdif
   pPKPdf
   pPKPbc
   pPKPab
   sPKPdf
   sPKPbc
   sPKPab
   sS
   pS

# List of allowable first-arriving P phases
AllowableFirstP
     P
     Pn
     Pg
     Pb
     Pdif
     PKPdf
     PKPbc
     PKPab

# Optional allowable first-arriving P phases
OptionalFirstP
     PKiKP
     PcP
    pP
    pwP
    pPdif
    pPKPdf
    pPKPbc
    pPKPab
    sP
    sPKPdf
    sPKPbc
    sPKPab

# List of allowable first-arriving S phases
AllowableFirstS
     S
     Sn
     Lg
     Sg
     Sb
     SKiKP
     SKPdf
     SKPbc
     SKPab

# Optional allowable first-arriving S phases
OptionalFirstS
     ScP
     SKSac
     SKSdf
    sS
    pS

# List of IASPEI phases for which residuals will not be calculated
PhaseWithoutResidual
     PKPpre
     PPP
     PPS
     PSP
     PSS
     SSS
     SPP
     SSP
     SPS
     IAmb
     IVmb_BB
     AMB
     AMS
     IAMs_20
     IVMs_BB
     L
     LR
     LRZ
     LRE
     LRN
     LQ
     IAML
     AML
     MLR
     x
     rx
     tx
     Px
     Sx
     Rg
     pmax
     smax
     T
     Ix
     A
     M
     F

# Table of phases with a priori measurement errors for given delta ranges
#   phase, delta1, delta2, time, azimuth and slowness errors [s, deg, s/deg]
PhaseWeight
    P           0       15      0.8     15.0      2.2
    P          15       28      1.2     15.0      2.2
    P          28       99      0.8     15.0      2.2
    Pn          0       15      0.8     15.0      2.2
    Pn         15       20      1.2     15.0      2.2
    Pg          0        9      0.8     15.0      2.8
    Pb          0        9      0.8     15.0      2.8
    Pdif       99      144      2.8     15.0      4.0
    PKPab     144      177      1.3     15.0      3.5
    PKPbc     145      155      1.3     15.0      3.5
    PKPdf     115      180      1.3     15.0      3.5
    PKPdif    155      180      2.8     15.0      4.0
    PKSab     129      141      1.3     15.0      3.5
    PKSbc     129      149      1.3     15.0      3.5
    PKSdf     110      180      1.3     15.0      3.5
    PKiKP       0      155      1.3     15.0      3.0
    PKKPab    104      127      1.3     15.0      3.5
    PKKPbc     72      127      1.3     15.0      3.5
    PKKPdf      0      151      1.3     15.0      3.5
    PKKSab    140      148      1.3     15.0      3.5
    PKKSbc     78      148      1.3     15.0      3.5
    PKKSdf      0      156      1.3     15.0      3.5
    P'P'ab      4       72      1.3     15.0      3.5
    P'P'bc     49       72      1.3     15.0      3.5
    P'P'df      0      130      1.3     15.0      3.5
    PcP         0       99      1.3     15.0      2.5
    PcS         0       63      1.3     15.0      2.5
    PP         25       40      1.8     15.0      2.5
    PP         40      180      1.3     15.0      2.5
    PnPn        2       42      1.8     15.0      3.0
    PbPb        2       16      2.5     15.0      3.0
    PgPg        0       18      2.5     15.0      3.0
    PS         84      138      2.5     15.0      3.0
    PnS        53       92      2.5     15.0      3.0
    PgS        25       31      2.5     15.0      3.0
    S           0       15      1.5     15.0      3.0
    S          15       28      1.8     15.0      3.0
    S          28      100      1.5     15.0      3.0
    Sn          0       15      1.5     15.0      3.5
    Sn         15       20      1.8     15.0      3.5
    Sg          0        9      1.5     15.0      3.5
    Lg          0        9      1.5     15.0      3.5
    Sb          0        8      1.5     15.0      3.5
    Sdif       98      144      2.8     15.0      4.0
    SKPab     130      142      1.8     15.0      3.5
    SKPbc     130      149      1.8     15.0      3.5
    SKPdf     110      180      1.8     15.0      3.5
    SKSac      61      144      1.8     15.0      3.5
    SKSdf     105      180      1.8     15.0      3.5
    SKiKP       0      149      1.8     15.0      3.0
    SKKPab    140      147      1.8     15.0      3.5
    SKKPbc     78      147      1.8     15.0      3.5
    SKKPdf      0      156      1.8     15.0      3.5
    SKKSac     61      180      1.8     15.0      3.5
    SKKSdf      0      161      1.8     15.0      3.5
    S'S'ac     72      180      1.8     15.0      3.5
    S'S'df      0      149      1.8     15.0      3.5
    ScP         0       63      1.8     15.0      3.0
    ScS         0      100      1.8     15.0      3.0
    SS         25       40      2.5     15.0      3.0
    SS         40      180      1.8     15.0      3.0
    SnSn        1       48      2.5     15.0      3.5
    SbSb        1       16      2.5     15.0      3.5
    SgSg        0       18      2.5     15.0      3.5
    SP         85      138      2.5     15.0      3.5
    SPn        53       92      2.5     15.0      3.5
    SPg        23       31      2.5     15.0      3.5
    pP         15      100      1.3     15.0      2.2
    pwP        15      100      1.3     15.0      2.2
    sP         15      100      1.3     15.0      2.2
    pS         18      102      1.3     15.0      2.2
    sS         15      102      1.3     15.0      2.2
    pPg         3        9      2.5     15.0      2.5
    sPg         1       16      2.5     15.0      2.5
    sSg         3        9      2.5     15.0      2.5
    pPb         1        9      1.8     15.0      2.5
    sPb         1       16      1.8     15.0      2.5
    sSb         1        9      1.8     15.0      2.5
    pPn         1       21      1.8     15.0      2.5
    sPn         1       21      1.8     15.0      2.5
    sSn         1       24      1.8     15.0      2.5
    pPdif     100      144      2.8     15.0      4.0
    sPdif     101      144      2.8     15.0      4.0
    pSdif     101      144      2.8     15.0      4.0
    sSdif     102      144      2.8     15.0      4.0
    pPKiKP      0      155      1.8     15.0      2.5
    sPKiKP      0      155      1.8     15.0      2.5
    pPKPab    147      179      1.8     15.0      2.5
    sPKPab    147      178      1.8     15.0      2.5
    pPKPbc    147      155      1.8     15.0      2.5
    sPKPbc    147      155      1.8     15.0      2.5
    pPKPdf    117      180      1.8     15.0      2.5
    sPKPdf    117      180      1.8     15.0      2.5
    pSKSac     64      145      1.8     15.0      2.5
    sSKSac     64      144      1.8     15.0      2.5
    pSKSdf    107      180      1.8     15.0      2.5
    sSKSdf    106      180      1.8     15.0      2.5
    I           0      180      8.0      1.0      4.0
    Is          0      180      8.0      1.0      4.0
    H           0      180      0.8      1.0      3.5
    O           0      180      0.8      1.0      3.5

# Phases that can contribute to body wave magnitudes
# (also delta restrictions)
MBPhase
    P
    pP
    sP
    AMB
    IAmb
    IVmb_BB
    pmax
    Pn

# Phases that can contribute to surface wave magnitudes
# (also delta/period restrictions)
MSPhase
    AMS
    IAMs_20
    IVMs_BB
    LR
    LRZ
    LRE
    LRN
    MLR
    M
    L

# Phases that can contribute to local magnitudes
# (also delta restrictions)
MLPhase
    P
    Pg
    Pb
    Pn
    S
    Sg
    Lg
    Sb
    Sn
    AML
    IAML
    pmax
