#
#
# Veith-Clawson Q(d,h) distance and depth dependent attenuation parameters
#
# Veith, K.F. and G.E. Clawson, Magnitude from short-period P-wave data,
# Bull. Seism. Soc. Am., 62, 2, 435-452, 1972. Table 2
#
#
# DISTANCE samples
#
#
101
 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 
40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 
80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
#
#
# DEPTH samples
#
#
11
0 15 40 100 200 300 400 500 600 700 800
#
#
# MAGNITUDE attenuation table Q(d,h)
#
#
101 11
 0.00 -1.82 -1.44 -0.80 -0.36 -0.10 0.08 0.22 0.34 0.44 0.52
 3.38  3.29  3.16  3.04  2.86  2.71 2.61 2.50 2.39 2.28 2.23
 3.39  3.30  3.16  3.05  2.86  2.72 2.62 2.51 2.40 2.29 2.24
 3.39  3.30  3.17  3.06  2.87  2.73 2.63 2.52 2.41 2.31 2.25
 3.40  3.31  3.18  3.06  2.88  2.73 2.64 2.53 2.42 2.32 2.26
 3.40  3.32  3.18  3.07  2.88  2.74 2.64 2.54 2.43 2.33 2.27
 3.41  3.32  3.19  3.08  2.89  2.75 2.65 2.54 2.44 2.34 2.29
 3.42  3.33  3.19  3.08  2.90  2.76 2.66 2.55 2.45 2.35 2.30
 3.42  3.34  3.20  3.09  2.91  2.76 2.67 2.56 2.46 2.37 2.31
 3.43  3.34  3.20  3.10  2.91  2.77 2.68 2.57 2.47 2.38 2.32
 3.44  3.35  3.21  3.10  2.92  2.78 2.68 2.58 2.48 2.39 2.33
 3.44  3.35  3.21  3.11  2.93  2.79 2.69 2.59 2.49 2.40 2.34
 3.45  3.36  3.22  3.12  2.93  2.80 2.70 2.60 2.50 2.41 2.35
 3.45  3.36  3.22  3.12  2.94  2.80 2.71 2.61 2.51 2.42 2.36
 3.46  3.37  3.23  3.13  2.95  2.81 2.72 2.62 2.52 2.43 2.37
 3.46  3.38  3.24  3.14  2.95  2.82 2.73 2.62 2.53 2.44 2.38
 3.47  3.38  3.24  3.14  2.96  2.83 2.74 2.63 2.54 2.45 2.39
 3.48  3.39  3.25  3.15  2.97  2.84 2.74 2.64 2.55 2.46 2.40
 3.48  3.39  3.25  3.16  2.98  2.84 2.75 2.65 2.56 2.47 2.41
 3.49  3.40  3.26  3.16  2.98  2.85 2.76 2.66 2.56 2.48 2.42
 3.50  3.40  3.26  3.16  2.99  2.86 2.77 2.67 2.57 2.49 2.43
 3.50  3.41  3.27  3.17  3.00  2.86 2.77 2.68 2.58 2.49 2.44
 3.51  3.42  3.27  3.17  3.00  2.87 2.78 2.68 2.59 2.50 2.45
 3.51  3.42  3.28  3.18  3.01  2.88 2.79 2.69 2.59 2.50 2.46
 3.52  3.43  3.28  3.18  3.01  2.88 2.79 2.70 2.60 2.51 2.47
 3.53  3.43  3.29  3.19  3.02  2.89 2.80 2.70 2.61 2.52 2.47
 3.53  3.44  3.29  3.19  3.02  2.89 2.80 2.70 2.61 2.52 2.48
