#
# ak135 travel-time table for SnSn
#
# number of distance and depth samples
56 25
# delta samples
1.500 2.000 2.500 3.000 3.500 4.000 4.500 5.000 5.500 6.000 6.500 7.000 7.500 8.000 8.500 9.000 10.000 11.000 12.000 13.000 14.000 15.000 16.000 17.000 18.000 
19.000 20.000 21.000 22.000 23.000 24.000 25.000 26.000 27.000 28.000 29.000 30.000 31.000 32.000 33.000 34.000 35.000 36.000 37.000 38.000 39.000 40.000 41.000 42.000 43.000 
44.000 45.000 46.000 47.000 48.000 49.000 
# depth samples
    0.000000    1.000000    2.500000    5.000000    7.500000   10.000000   12.500000   15.000000   17.500000   19.900000   20.000000   22.500000   25.000000   27.500000   30.000000   32.500000   34.900000   35.000000   40.000000   45.000000   50.000000   75.000000  100.000000  150.000000  200.000000
#
# travel times (rows - delta, columns - depth)
#
 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000   55.432701   55.099369   54.766403   54.433804   54.114857   54.101627 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   72.135506   71.950455   71.672951   71.210655   70.748627   70.286858   69.825348   69.364105   68.903130   68.460838   68.442444   68.108353   67.774651   67.441315   67.108337   66.775742   66.456787   66.443550 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   84.477425   84.292366   84.014862   83.552559   83.090523   82.628746   82.167236   81.705986   81.245003   80.802704   80.784309   80.450203   80.116493   79.783142   79.450157   79.117538   78.798576   78.785339 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   96.819183   96.634125   96.356613   95.894302   95.432259   94.970467   94.508942   94.047684   93.586678   93.144371   93.125977   92.791855   92.458122   92.124748   91.791748   91.459106   91.140121   91.126884 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  109.160698  108.975632  108.698112  108.235779  107.773712  107.311913  106.850365  106.389084  105.928070  105.485741  105.467346  105.133194  104.799431  104.466034  104.133003  103.800339  103.481323  103.468086 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  121.501854  121.316772  121.039238  120.576889  120.114799  119.652969  119.191406  118.730103  118.269058  117.826706  117.808311  117.474129  117.140327  116.806892  116.473824  116.141121  115.822067  115.808830 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  133.842545  133.657455  133.379898  132.917526  132.455399  131.993546  131.531952  131.070618  130.609543  130.167160  130.148758  129.814545  129.480698  129.147217  128.814102  128.481354  128.162262  128.149017 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  146.182663  145.997559  145.719986  145.257568  144.795425  144.333527  143.871902  143.410522  142.949417  142.507004  142.488602  142.154327  141.820435  141.486908  141.153748  140.820938  140.501785  140.488556 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  158.522110  158.336990  158.059402  157.596939  157.134750  156.672821  156.211151  155.749741  155.288589  154.846130  154.827728  154.493393  154.159439  153.825851  153.492630  153.159760  152.840561  152.827316 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  170.860779  170.675644  170.398026  169.935516  169.473282  169.011307  168.549591  168.088135  167.626938  167.184433  167.166031  166.831635  166.497604  166.163956  165.830658  165.497726  165.178452  165.165207 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  183.198563  183.013412  182.735764  182.273209  181.810913  181.348892  180.887115  180.425613  179.964355  179.521805  179.503403  179.168930  178.834839  178.501099  178.167740  177.834717  177.515381  177.502121 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  195.535370  195.350189  195.072495  194.609894  194.147552  193.685455  193.223633  192.762070  192.300751  191.858154  191.839737  191.505188  191.171005  190.837204  190.503738  190.170654  189.851212  189.837967 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  207.871078  207.685867  207.408142  206.945480  206.483078  206.020920  205.559036  205.097397  204.636032  204.193359  204.174942  203.840302  203.506042  203.172134  202.838577  202.505402  202.185883  202.172623  202.147461 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  220.205582  220.020355  219.742599  219.279861  218.817383  218.355164  217.893204  217.431503  216.970062  216.527313  216.508911  216.174164  215.839798  215.505798  215.172150  214.838867  214.519241  214.505981  214.475967 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  232.538803  232.353546  232.075729  231.612930  231.150375  230.688080  230.226044  229.764267  229.302750  228.859940  228.841522  228.506683  228.172211  227.838089  227.504333  227.170944  226.851227  226.837967  226.803497 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  244.870605  244.685318  244.407455  243.944580  243.481949  243.019562  242.557449  242.095596  241.634003  241.191101  241.172684  240.837723  240.503143  240.168915  239.835052  239.501541  239.181702  239.168442  239.129745 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
  269.529572  269.344238  269.066254  268.603210  268.140381  267.677856  267.215546  266.753510  266.291748  265.848663  265.830261  265.495026  265.160217  264.825714  264.491608  264.157837  263.837769  263.824463  263.777710  263.754425 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
