#
# ak135 travel-time table for pPn
#
# number of distance and depth samples
38 28
# delta samples
1.000 1.500 2.000 2.500 3.000 3.500 4.000 4.500 5.000 5.500 6.000 6.500 7.000 7.500 8.000 8.500 9.000 10.000 11.000 12.000 13.000 14.000 15.000 16.000 17.000 
18.000 19.000 20.000 21.000 22.000 23.000 24.000 25.000 26.000 27.000 28.000 29.000 31.000 
# depth samples
    1.000000    2.500000    5.000000    7.500000   10.000000   12.500000   15.000000   17.500000   19.900000   20.000000   22.500000   25.000000   27.500000   30.000000   32.500000   34.900000   35.000000   40.000000   45.000000   50.000000   75.000000  100.000000  150.000000  200.000000  250.000000  300.000000  350.000000  400.000000
#
# travel times (rows - delta, columns - depth)
#
   21.393017   21.573128   21.873213   22.173172   22.473005   22.772713   23.072294   23.371750   23.659109   23.671059   23.898363   24.125484 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   28.270050   28.450167   28.750257   29.050224   29.350063   29.649776   29.949364   30.248825   30.536188   30.548138   30.775450   31.002577   31.229536   31.456327   31.682951   31.900351   31.909369 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   35.146851   35.326977   35.627083   35.927063   36.226913   36.526642   36.826241   37.125713   37.413090   37.425041   37.652367   37.879509   38.106483   38.333286   38.559925   38.777336   38.786354 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   42.023262   42.203400   42.503529   42.803528   43.103401   43.403149   43.702770   44.002262   44.289654   44.301605   44.528957   44.756126   44.983124   45.209953   45.436611   45.654045   45.663063 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   48.899128   49.079281   49.379436   49.679466   49.979370   50.279144   50.578793   50.878311   51.165730   51.177681   51.405067   51.632271   51.859303   52.086163   52.312855   52.530319   52.539341 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   55.774288   55.954464   56.254658   56.554722   56.854660   57.154469   57.454151   57.753704   58.041157   58.053112   58.280540   58.507786   58.734859   58.961765   59.188499   59.406002   59.415028 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
   62.648590   62.828793   63.129028   63.429134   63.729115   64.028969   64.328690   64.628288   64.915779   64.927734   65.155220   65.382515   65.609642   65.836601   66.063385   66.280945   66.289970 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000
